Lunch Suggestion,Count
Lentil soup with whole wheat bread,161
Quinoa salad with chickpeas and vegetables,153
Black bean burger on a whole wheat bun,147
Grilled chicken salad with mixed greens,143
Chicken and vegetable stir-fry,143
Lentil soup with bread,112
Avocado and chickpea salad,104
Turkey sandwich,100
Grilled chicken salad,92
Veggie stir-fry,92
Lentil soup with whole-wheat bread,34
Chicken breast with brown rice and vegetables,27
Lentil and vegetable curry with brown rice,24
Chicken breast with brown rice and steamed vegetables,16
Tuna salad sandwich on whole-wheat bread,14
Lentil soup with whole grain bread,12
Chicken stir-fry with brown rice,11
Black bean burger on a whole-wheat bun,9
Vegetarian chili with brown rice,8
Chicken breast salad with mixed greens,8
Tuna salad sandwich on whole wheat bread,7
Lentil soup with whole-grain bread,6
Black bean burger on whole-wheat bun,6
Lentil soup with wholegrain bread,6
Black bean burger on a whole wheat bun with salad,5
Chicken breast with quinoa and vegetables,5
Vegan lentil stew with brown rice,5
Chicken breast salad with mixed greens and avocado,5
Chicken breast with sweet potato and broccoli,5
Chicken breast with brown rice and roasted vegetables,4
Vegan chili with brown rice,4
Chicken salad sandwich on whole wheat bread,4
Chicken and vegetable stir-fry with brown rice,4
Lentil soup with a side of whole-wheat bread,4
Black bean burgers with sweet potato fries,4
Chicken breast with brown rice and broccoli,4
Bean burrito with brown rice,4
Turkey sandwich on whole-wheat bread,3
Black bean burger on a whole-wheat bun with a side salad,3
Lentil stew with brown rice,3
Lentil soup with a side salad,3
Lentil and vegetable soup with whole wheat bread,3
Chicken salad sandwich on whole-wheat bread,3
Quinoa Salad with Grilled Vegetables,3
Black bean burger with sweet potato fries,3
Lentil and Vegetable Curry with Brown Rice,3
Tuna salad sandwich on whole-grain bread,3
Lentil and vegetable soup with whole-wheat bread,3
Tuna salad sandwich on whole-wheat bread with a side salad,3
Chicken salad with whole-wheat bread,2
Black bean salad with mixed greens,2
Chicken salad sandwich on whole-wheat bread with a side salad,2
Chicken breast with roasted vegetables and quinoa,2
Quinoa salad with vegetables,2
Lentil stew with whole-grain bread,2
Black bean burger on a whole grain bun,2
Lentil soup with whole-wheat bread and salad,2
Turkey sandwich on whole-wheat bread with salad,2
Chickpea pasta with vegetable sauce,2
Grilled chicken salad with quinoa,2
Grilled chicken salad with mixed greens and vegetables,2
Chicken salad with whole grain bread,2
Chickpea salad with mixed greens,2
Quinoa salad with chicken and vegetables,2
Lentil salad with quinoa and mixed greens,2
Lentil and vegetable stew,2
Chicken breast with brown rice,2
Vegan lentil stew with whole wheat bread,2
Chicken breast salad with whole-wheat bread,2
Tofu and vegetable stir-fry with brown rice,2
Tuna salad sandwich on whole grain bread with a side of salad,2
Tuna salad sandwich on whole grain bread,2
Chicken Breast with Brown Rice and Steamed Vegetables,2
Vegetarian chili with a side salad,2
Chicken breast with quinoa and steamed vegetables,2
Vegetable stir-fry with brown rice,2
Lentil and vegetable stew with brown rice,2
Turkey sandwich on whole grain bread,2
Lentil stew with whole-wheat bread,1
Chicken breast with mixed greens salad,1
Vegan lentil burger with sweet potato fries,1
Chickpea pasta salad with roasted vegetables,1
Vegan chili with whole wheat bread,1
Lentil and vegetable curry with brown rice and naan bread,1
Lentil and vegetable soup with whole grain bread,1
Tuna salad with whole-wheat bread,1
Lentil and chickpea salad with whole grain pita,1
Lentil and veggie stir-fry with brown rice,1
Tuna salad sandwich on whole-wheat bread with a side of fruit,1
Turkey and veggie wrap with whole-wheat tortilla,1
Turkey breast sandwich with mixed greens,1
Chicken and vegetable wrap,1
Vegetable stir-fry with rice noodles,1
Chicken breast with brown rice and quinoa,1
Vegetarian chili with whole grain bread,1
Turkey sandwich with whole-wheat bread,1
Chickpea salad sandwich on wholegrain bread,1
Lentil pasta with vegetables,1
Chicken salad sandwich on whole-wheat bread with a side of fruit,1
Chickpea salad sandwich on whole-wheat bread with a side of fruit,1
Chickpea salad sandwich on whole grain bread,1
Chickpea and vegetable curry with brown rice,1
Chickpea salad sandwich on whole-wheat bread with a side salad,1
Quinoa salad with roasted vegetables and chickpeas,1
Black bean burgers on whole-wheat buns with a side salad,1
Chickpea and vegetable stew,1
Vegetable soup with whole-wheat bread,1
Chickpea pasta with vegetables and vegan cheese,1
Tuna Salad Sandwich on Whole Wheat Bread,1
Chicken breast with sweet potato and roasted vegetables,1
Black bean burger on a whole-wheat bun with salad,1
Quinoa bowl with roasted vegetables and chickpeas,1
Black bean burger on a whole-grain bun,1
Chicken and Vegetable Wrap on Whole Wheat Tortilla,1
Grilled chicken salad with whole grain bread,1
Lentil stew with whole wheat bread,1
Lentil salad with quinoa and avocado,1
Chicken and rice bowl with vegetables,1
Chicken salad sandwich on whole grain bread with a side of fruit,1
Mixed greens salad with chickpeas and tahini dressing,1
Black bean burger on whole wheat bun with salad,1
Quinoa salad with chickpeas and avocado,1
Lentil burger with sweet potato fries,1
Quinoa salad with grilled tofu,1
Chicken Caesar salad,1
Vegetarian chili with whole-wheat bread,1
Black bean burger with whole wheat bun,1
Chickpea salad sandwich on whole wheat bread,1
Lentil and vegetable curry with brown rice and quinoa,1
Black bean burgers on whole-wheat buns with salad,1
Chicken breast with roasted vegetables,1
Lentil stew with brown rice and quinoa,1
Black bean soup with whole wheat bread,1
Tuna salad with whole grain bread,1
Chicken salad sandwich on whole-wheat bread with a side of mixed greens,1
Black bean burger with whole-wheat bun and salad,1
Tuna salad sandwich on whole-wheat bread with a side of mixed greens,1
Grilled salmon with roasted vegetables,1
Chickpea salad sandwich with whole-wheat bread,1
Chickpea and vegetable curry,1
Vegan pasta salad with vegetables,1
Chicken salad sandwich with mixed greens,1
Lentil and quinoa salad,1
Tuna salad sandwich with whole-wheat bread,1
Grilled chicken sandwich with whole-wheat bread,1
Chicken breast salad with vegetables,1
Tofu scramble with spinach and avocado,1
Vegetarian chili with whole wheat bread,1
Tuna salad with whole wheat bread,1
Turkey sandwich on whole wheat bread with vegetables,1
Salmon salad with mixed greens and avocado,1
Grilled chicken breast with brown rice,1
Black bean burger on a wholegrain bun,1
Tuna salad sandwich on wholegrain bread,1
Black bean salad,1
Grilled chicken salad with mixed greens and avocado,1
Chicken breast and brown rice with vegetables,1
Lentil pasta with vegan cheese,1
Vegan lentil soup with whole wheat bread,1
Chicken and vegetable soup,1
Lentil and vegetable soup,1
Chicken and vegetable skewers,1
Black bean and sweet potato burrito,1
Chickpea pasta salad with vegetables,1
Chicken salad sandwich on whole-grain bread,1
Chickpea pasta with marinara sauce,1
Turkey breast sandwich on whole-grain bread,1
Vegetable stir fry with brown rice,1
Bean burrito with brown rice and salsa,1
Black bean burger on whole-wheat bun with salad,1
Tuna salad sandwich on whole-wheat bread with salad,1
Chicken stir fry with brown rice and vegetables,1
Vegetarian pasta with marinara sauce,1
Chickpea salad with whole-wheat bread,1
Tofu stir-fry with brown rice,1
Chicken breast salad with mixed greens and vegetables,1
Lentil salad with mixed greens,1
Chicken and vegetable fajitas,1
Black bean soup with whole grain bread,1
Quinoa salad with grilled chicken and vegetables,1
Chicken breast with quinoa and roasted vegetables,1
Lentil and vegetable curry,1
Black bean burger with a side salad,1
Turkey sandwich on whole-wheat bread with vegetables,1
Grilled chicken breast salad with mixed greens and avocado,1
Vegetarian chili with a side of whole-wheat bread,1
Lentil stew with a side of whole-wheat bread,1
Lentil and vegetable curry with rice,1
Salmon with roasted vegetables,1
Vegetarian burrito bowl with brown rice,1
