Snack Suggestion,Count
Trail mix,298
Apple with almond butter,269
Fruit and nut mix,166
Greek yogurt with fruit,158
Banana with peanut butter,131
Protein bar,116
Greek yogurt with nuts,97
Hummus and veggies,90
Protein shake,33
Apple with peanut butter,21
Fruit and nuts,20
Banana with almond butter,19
Apple slices with almond butter,18
Trail mix with nuts and seeds,17
Apple slices with peanut butter,15
Fruit and yogurt,15
Trail mix with nuts and dried fruit,13
Trail mix with dried fruit and nuts,13
Fruit salad with nuts,11
Mixed nuts and dried fruit,10
Protein shake with fruit,9
Fruit salad with yogurt,7
Mixed nuts and seeds,6
Fruit and vegetable salad,6
Greek yogurt with fruit and granola,5
Almonds,4
Greek yogurt with fruit and nuts,4
Popcorn,4
Fruit salad with nuts and seeds,4
Fruit and nut smoothie,4
Trail mix with nuts and dried fruits,3
Nuts and seeds,3
Greek yogurt with berries,3
Mixed Nuts and Dried Fruits,3
Fruit salad,3
Fruit Salad with Coconut Yogurt,3
Protein shake with banana,3
Fruit smoothie with plant-based milk,3
Fruit with yogurt,3
Smoothie with protein powder and fruit,3
Fruit and cheese,3
Whole-grain crackers with hummus,2
Yogurt with fruit and granola,2
Fruit and vegetables,2
Popcorn with a touch of olive oil,2
Almond milk with banana and chia seeds,2
Protein shake with fruit and nuts,2
Popcorn with nutritional yeast,2
Fruit with cottage cheese,2
Hummus with vegetables,2
Vegetable sticks with hummus,2
Hummus and vegetable sticks,2
Mixed nuts,2
Yogurt Parfait with Granola,2
Greek yogurt with almonds and fruit,2
Fruit with almond butter,2
Almonds with dried fruit,1
Trail mix with dried fruit,1
Protein shake with fruit and greens,1
Dark chocolate with almonds,1
Yogurt with granola,1
Hummus and veggie sticks,1
Protein Shake with Banana,1
Fruit salad with Greek yogurt,1
Protein smoothie,1
Protein smoothie with fruit,1
Fruit with nuts,1
Fruit with almonds,1
Popcorn with a sprinkle of parmesan cheese,1
Apple with Peanut Butter,1
Popcorn with a sprinkle of nutritional yeast,1
Fruit with nuts and seeds,1
Greek yogurt with protein powder,1
Protein smoothie with banana and spinach,1
Hummus and veggie wraps,1
Cottage cheese with fruit,1
Protein shake with fruit and spinach,1
Yogurt parfait with granola,1
String cheese with crackers,1
Fruit and veggie sticks,1
Smoothie with protein powder,1
Fruit smoothie,1
Energy bar with nuts and seeds,1
Greek yogurt with nuts and seeds,1
Trail mix with almonds and dried fruit,1
Low-fat Greek yogurt with berries,1
Raw vegetables and hummus,1
Celery sticks with peanut butter,1
Trail mix with almonds and dried cranberries,1
Protein bar with nuts,1
Carrot sticks with hummus,1
Greek yogurt with berries and granola,1
Protein shake with milk and banana,1
Yogurt with fruit,1
Fruit smoothie with almond milk,1
Greek yogurt with granola,1
Protein shake with almond butter,1
Hummus and veggie wrap,1
Popcorn with a sprinkle of cinnamon,1
Energy bar,1
Protein smoothie with almond milk and banana,1
Fruit and vegetable smoothie,1
Hummus with carrots and cucumber,1
Fruit with nut butter,1
Banana,1
Rice cakes with peanut butter,1
Hummus with wholegrain crackers,1
Peanut butter and banana sandwich,1
